Park	State	Area	Year	Month	Recreation Visitors
Grand Canyon NP	Arizona	1902 sq. miles	1995	Jan	124843
Grand Canyon NP	Arizona	1902 sq. miles	1995	Feb	158170
Grand Canyon NP	Arizona	1902 sq. miles	1995	Mar	286118
Grand Canyon NP	Arizona	1902 sq. miles	1995	Apr	371843
Grand Canyon NP	Arizona	1902 sq. miles	1995	May	464743
Grand Canyon NP	Arizona	1902 sq. miles	1995	Jun	665255
Grand Canyon NP	Arizona	1902 sq. miles	1995	Jul	678871
Grand Canyon NP	Arizona	1902 sq. miles	1995	Aug	678492
Grand Canyon NP	Arizona	1902 sq. miles	1995	Sep	439849
Grand Canyon NP	Arizona	1902 sq. miles	1995	Oct	381572
Grand Canyon NP	Arizona	1902 sq. miles	1995	Nov	166568
Grand Canyon NP	Arizona	1902 sq. miles	1995	Dec	141321
Grand Canyon NP	Arizona	1902 sq. miles	1996	Jan	147909
Grand Canyon NP	Arizona	1902 sq. miles	1996	Feb	171968
Grand Canyon NP	Arizona	1902 sq. miles	1996	Mar	302054
Grand Canyon NP	Arizona	1902 sq. miles	1996	Apr	364219
Grand Canyon NP	Arizona	1902 sq. miles	1996	May	477093
Grand Canyon NP	Arizona	1902 sq. miles	1996	Jun	577194
Grand Canyon NP	Arizona	1902 sq. miles	1996	Jul	691310
Grand Canyon NP	Arizona	1902 sq. miles	1996	Aug	580705
Grand Canyon NP	Arizona	1902 sq. miles	1996	Sep	499011
Grand Canyon NP	Arizona	1902 sq. miles	1996	Oct	387665
Grand Canyon NP	Arizona	1902 sq. miles	1996	Nov	188612
Grand Canyon NP	Arizona	1902 sq. miles	1996	Dec	149963
Grand Canyon NP	Arizona	1902 sq. miles	1997	Jan	133291
Grand Canyon NP	Arizona	1902 sq. miles	1997	Feb	174087
Grand Canyon NP	Arizona	1902 sq. miles	1997	Mar	347740
Grand Canyon NP	Arizona	1902 sq. miles	1997	Apr	324011
Grand Canyon NP	Arizona	1902 sq. miles	1997	May	465990
Grand Canyon NP	Arizona	1902 sq. miles	1997	Jun	540275
Grand Canyon NP	Arizona	1902 sq. miles	1997	Jul	730341
Grand Canyon NP	Arizona	1902 sq. miles	1997	Aug	591024
Grand Canyon NP	Arizona	1902 sq. miles	1997	Sep	599107
Grand Canyon NP	Arizona	1902 sq. miles	1997	Oct	444433
Grand Canyon NP	Arizona	1902 sq. miles	1997	Nov	251808
Grand Canyon NP	Arizona	1902 sq. miles	1997	Dec	189561
Grand Canyon NP	Arizona	1902 sq. miles	1998	Jan	133187
Grand Canyon NP	Arizona	1902 sq. miles	1998	Feb	135141
Grand Canyon NP	Arizona	1902 sq. miles	1998	Mar	248949
Grand Canyon NP	Arizona	1902 sq. miles	1998	Apr	401811
Grand Canyon NP	Arizona	1902 sq. miles	1998	May	444044
Grand Canyon NP	Arizona	1902 sq. miles	1998	Jun	532945
Grand Canyon NP	Arizona	1902 sq. miles	1998	Jul	586676
Grand Canyon NP	Arizona	1902 sq. miles	1998	Aug	600640
Grand Canyon NP	Arizona	1902 sq. miles	1998	Sep	421853
Grand Canyon NP	Arizona	1902 sq. miles	1998	Oct	375993
Grand Canyon NP	Arizona	1902 sq. miles	1998	Nov	209611
